cpu_type,l2_size,l2_assoc,l3_size,l3_assoc,simTicks,l2_miss_rate,l3_miss_rate
timing,128kB,4,1MB,8,58563352000,0.645072,0.437514
timing,128kB,4,1MB,16,58578874000,0.645072,0.441642
timing,128kB,4,2MB,8,57286842000,0.645072,0.231503
timing,128kB,4,2MB,16,57286842000,0.645072,0.231503
timing,128kB,8,1MB,8,58563352000,0.645904,0.436950
timing,128kB,8,1MB,16,58580268000,0.645904,0.441074
timing,128kB,8,2MB,8,57294368000,0.645904,0.231205
timing,128kB,8,2MB,16,57294368000,0.645904,0.231205
timing,256kB,4,1MB,8,57846969000,0.523496,0.539135
timing,256kB,4,1MB,16,57866325000,0.523496,0.544124
timing,256kB,4,2MB,8,56570893000,0.523496,0.285267
timing,256kB,4,2MB,16,56570893000,0.523496,0.285267
timing,256kB,8,1MB,8,57862503000,0.526866,0.535687
timing,256kB,8,1MB,16,57879390000,0.526866,0.540658
timing,256kB,8,2MB,8,56590279000,0.526866,0.283442
timing,256kB,8,2MB,16,56590279000,0.526866,0.283442
timing,512kB,4,1MB,8,57099506000,0.397425,0.702125
timing,512kB,4,1MB,16,57146303000,0.397425,0.716140
timing,512kB,4,2MB,8,55840426000,0.397425,0.375759
timing,512kB,4,2MB,16,55840426000,0.397425,0.375759
timing,512kB,8,1MB,8,57077362000,0.397940,0.696557
timing,512kB,8,1MB,16,57139770000,0.397940,0.712532
timing,512kB,8,2MB,8,55845200000,0.397940,0.375273
timing,512kB,8,2MB,16,55845200000,0.397940,0.375273
o3,128kB,4,1MB,8,10569818000,0.648201,0.433015
o3,128kB,4,1MB,16,10566328000,0.648207,0.437074
o3,128kB,4,2MB,8,9798428000,0.648061,0.227034
o3,128kB,4,2MB,16,9798428000,0.648061,0.227034
o3,128kB,8,1MB,8,10572681000,0.649276,0.432251
o3,128kB,8,1MB,16,10570625000,0.649245,0.436393
o3,128kB,8,2MB,8,9803998000,0.649126,0.226637
o3,128kB,8,2MB,16,9803998000,0.649126,0.226637
o3,256kB,4,1MB,8,10291128000,0.525640,0.534562
o3,256kB,4,1MB,16,10291521000,0.525615,0.539358
o3,256kB,4,2MB,8,9524179000,0.525232,0.280678
o3,256kB,4,2MB,16,9524179000,0.525232,0.280678
o3,256kB,8,1MB,8,10295975000,0.528942,0.531102
o3,256kB,8,1MB,16,10299307000,0.529014,0.535820
o3,256kB,8,2MB,8,9536305000,0.528583,0.278905
o3,256kB,8,2MB,16,9536305000,0.528583,0.278905
o3,512kB,4,1MB,8,10051328000,0.399798,0.696029
o3,512kB,4,1MB,16,10074639000,0.399783,0.708776
o3,512kB,4,2MB,8,9306164000,0.399415,0.370458
o3,512kB,4,2MB,16,9306164000,0.399415,0.370458
o3,512kB,8,1MB,8,10025415000,0.400299,0.689975
o3,512kB,8,1MB,16,10060609000,0.400298,0.705770
o3,512kB,8,2MB,8,9308646000,0.400032,0.369866
o3,512kB,8,2MB,16,9308646000,0.400032,0.369866
